cengen_class,top100_behavior_count,hypergeom_p,expected_k,q
HSN,15,1.415002503642855e-10,1.7119028458555856,1.1886021030599983e-08
ALA,13,1.480683492859199e-08,1.7119028458555856,6.218870670008636e-07
DVA,12,1.32916997246809e-07,1.7119028458555856,3.7216759229106523e-06
AVJ,11,1.0860583303215762e-06,1.7119028458555856,1.5204816624502067e-05
PLN,11,1.0860583303215762e-06,1.7119028458555856,1.5204816624502067e-05
PVR,11,1.0860583303215762e-06,1.7119028458555856,1.5204816624502067e-05
ASER,10,8.026875123147682e-06,1.7119028458555856,7.491750114937837e-05
AVL,10,8.026875123147682e-06,1.7119028458555856,7.491750114937837e-05
PVN,10,8.026875123147682e-06,1.7119028458555856,7.491750114937837e-05
AVB,9,5.326506809030976e-05,1.7119028458555856,0.00024857031775477886
PVC,9,5.326506809030976e-05,1.7119028458555856,0.00024857031775477886
AWA,9,5.326506809030976e-05,1.7119028458555856,0.00024857031775477886
AVF,9,5.326506809030976e-05,1.7119028458555856,0.00024857031775477886
AIA,9,5.326506809030976e-05,1.7119028458555856,0.00024857031775477886
AVE,9,5.326506809030976e-05,1.7119028458555856,0.00024857031775477886
RIR,9,5.326506809030976e-05,1.7119028458555856,0.00024857031775477886
RIV,9,5.326506809030976e-05,1.7119028458555856,0.00024857031775477886
SAA,9,5.326506809030976e-05,1.7119028458555856,0.00024857031775477886
FLP,8,0.00031456393412456813,1.7119028458555856,0.001016283479479374
RIC,8,0.00031456393412456813,1.7119028458555856,0.001016283479479374
SMB,8,0.00031456393412456813,1.7119028458555856,0.001016283479479374
ASEL,8,0.00031456393412456813,1.7119028458555856,0.001016283479479374
PVP,8,0.00031456393412456813,1.7119028458555856,0.001016283479479374
AIY,8,0.00031456393412456813,1.7119028458555856,0.001016283479479374
SIB,8,0.00031456393412456813,1.7119028458555856,0.001016283479479374
SIA,8,0.00031456393412456813,1.7119028458555856,0.001016283479479374
ALM,7,0.0016357749689386867,1.7119028458555856,0.003435127434771242
ALN,7,0.0016357749689386867,1.7119028458555856,0.003435127434771242
RIM,7,0.0016357749689386867,1.7119028458555856,0.003435127434771242
AVM,7,0.0016357749689386867,1.7119028458555856,0.003435127434771242
ASI,7,0.0016357749689386867,1.7119028458555856,0.003435127434771242
IL2_DV,7,0.0016357749689386867,1.7119028458555856,0.003435127434771242
RMH,7,0.0016357749689386867,1.7119028458555856,0.003435127434771242
RME_DV,7,0.0016357749689386867,1.7119028458555856,0.003435127434771242
AVH,7,0.0016357749689386867,1.7119028458555856,0.003435127434771242
AVA,7,0.0016357749689386867,1.7119028458555856,0.003435127434771242
AVK,7,0.0016357749689386867,1.7119028458555856,0.003435127434771242
URX,7,0.0016357749689386867,1.7119028458555856,0.003435127434771242
URB,7,0.0016357749689386867,1.7119028458555856,0.003435127434771242
SDQ,7,0.0016357749689386867,1.7119028458555856,0.003435127434771242
RIG,6,0.007393202338546284,1.7119028458555856,0.012177039145840939
PVT,6,0.007393202338546284,1.7119028458555856,0.012177039145840939
RIF,6,0.007393202338546284,1.7119028458555856,0.012177039145840939
PVQ,6,0.007393202338546284,1.7119028458555856,0.012177039145840939
BAG,6,0.007393202338546284,1.7119028458555856,0.012177039145840939
AQR,6,0.007393202338546284,1.7119028458555856,0.012177039145840939
OLQ,6,0.007393202338546284,1.7119028458555856,0.012177039145840939
BDU,6,0.007393202338546284,1.7119028458555856,0.012177039145840939
RMD_DV,6,0.007393202338546284,1.7119028458555856,0.012177039145840939
RMD_LR,6,0.007393202338546284,1.7119028458555856,0.012177039145840939
RMF,6,0.007393202338546284,1.7119028458555856,0.012177039145840939
RIP,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
RIB,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
DVC,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
AUA,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
OLL,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
ADE,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
ADF,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
AIZ,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
AIB,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
AIN,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
ASJ,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
ADA,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
AVD,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
URY,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
IL2_LR,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
SMD,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
RME_LR,5,0.028577253417728474,1.7119028458555856,0.03530131304542929
RIA,4,0.09257074105275806,1.7119028458555856,0.10098626296664516
RIS,4,0.09257074105275806,1.7119028458555856,0.10098626296664516
RMG,4,0.09257074105275806,1.7119028458555856,0.10098626296664516
AIM,4,0.09257074105275806,1.7119028458555856,0.10098626296664516
AWB,4,0.09257074105275806,1.7119028458555856,0.10098626296664516
IL1,4,0.09257074105275806,1.7119028458555856,0.10098626296664516
ADL,4,0.09257074105275806,1.7119028458555856,0.10098626296664516
RID,4,0.09257074105275806,1.7119028458555856,0.10098626296664516
RIH,4,0.09257074105275806,1.7119028458555856,0.10098626296664516
CEP,3,0.24495332356066363,1.7119028458555856,0.2572009897386968
ASK,3,0.24495332356066363,1.7119028458555856,0.2572009897386968
URA,3,0.24495332356066363,1.7119028458555856,0.2572009897386968
CAN,2,0.5131375537010286,1.7119028458555856,0.5131375537010286
AFD,2,0.5131375537010286,1.7119028458555856,0.5131375537010286
ASG,2,0.5131375537010286,1.7119028458555856,0.5131375537010286
ASH,2,0.5131375537010286,1.7119028458555856,0.5131375537010286
