notebook,name,category,headline,data_loaded,summary_csv_exists
01,Clean connectome (Witvliet 2020),infrastructure,PASS — canonical adult adjacency built,False,False
02,CeNGEN expression alignment,infrastructure,"PASS — 179/222 mapped, textbook NT validation",False,False
03,Neuron-level gene×motif Spearman,test,"NULL (pseudoreplication artifact, 2797 hits collapse at class-level)",False,False
03b,Class-level gene×motif (N=84),test,"NULL — 0/60,438 FDR survivors",False,False
04A,Synthetic dynamics,test,NULL by threshold (weak but detectable gene signal),True,True
04B,Neuron-role classification,test,PASS 72.7% (expected); hub class weak +8%,False,False
05,Developmental rewiring (AUC),test,NULL — AUC 0.62 below bar 0.65,True,True
05b,Gene stability on rewiring,test,NULL — 56 stable genes vs null 55 (tied),True,True
06,LR compat edge prediction,test,NULL above contact; contact-only AUC=0.78,True,True
07,Developmental topological rule,POSITIVE,"AUC 0.76 pooled, +0.23 over null — pub-worthy",True,True
08,Sex dimorphism / cross-dataset,test,NULL — Jaccard 0.38-0.42; motif Spearman 0.60,True,True
09,Topology + genes for rewiring,POSITIVE,"AUC 0.80 (topo 0.76), delta +0.044 — KEY FINDING",True,True
10,Gap junction arrival,test,NULL — AUC 0.60 (chem and gap follow different rules),True,True
11,Gene stability above topology,test,see final summary,False,False
12,Peptide wireless connectome,POSITIVE,Structurally distinct (Jaccard 0.045 vs syn),True,True
13,Signed connectome motifs,POSITIVE,"6/8 sign classes significant; (-,+,-) at z=+28",True,True
14,Yemini phenotype enrichment,mixed,Behavior genes broadly expressed; hub correlation null,True,True
15,Human-ortholog conservation,mixed,Descriptive; 44% conservation; no hub correlation,True,True
16,Topo+genes+peptide for rewiring,test,see final summary,False,False
