PC,t,p,mean_member,mean_other,q
PC1,0.5716202203339115,0.5683659853388585,2363.2206541774626,-449.81756769854996,1.0
PC2,-1.0064323445726702,0.31471780693204315,-826.3330561031345,157.28498511054156,1.0
PC3,-0.23876482170616367,0.8114529443316715,-198.95772594444242,37.86979442692576,1.0
PC4,-0.1780848242885459,0.8588427184345436,-135.54656698475034,25.80005678402887,1.0
PC5,0.6503281815300515,0.5163852939040742,544.8856772439062,-103.7140351572215,1.0
PC6,0.3429965971714691,0.7320199753615808,231.38250425303366,-44.04155620725293,1.0
PC7,0.7288742011597517,0.4670881170098541,406.37547094453294,-77.34987657182724,1.0
PC8,0.9155937639713463,0.3611423793384143,398.69302728305524,-75.8875932612645,1.0
PC9,-3.001890597662504,0.002831845214498453,-675.5443621857557,128.5837280296754,0.14159226072492265
PC10,-2.3586360197847696,0.018584599630419463,-389.9731366144998,74.22784134423678,0.9292299815209731
PC11,0.4204131074560995,0.6747315053859517,151.94233019696364,-28.920841259081147,1.0
PC12,0.5768454252210479,0.5648347973360553,190.9490042795281,-36.34540706456933,1.0
PC13,0.7565838675512493,0.45038277807142446,236.7002733324194,-45.053745208159214,1.0
PC14,0.4978068081774445,0.6192877033844908,145.5981488415155,-27.713284012447613,1.0
PC15,-0.08862187606354228,0.929477757644974,-17.464229797813026,3.3241573762884347,1.0
PC16,0.03700431819226292,0.9705244837342432,6.593904230040234,-1.2550897256042814,1.0
PC17,0.4731220880091963,0.636699680069786,77.77199143002227,-14.803191550600673,1.0
PC18,-1.3886351435284803,0.16650167607759767,-197.65549064796355,37.621925776743026,1.0
PC19,-1.1705810254173141,0.24312882989092593,-150.71512310346588,28.68725354526215,1.0
PC20,-1.6444116506100324,0.10166491886321126,-206.13319528296748,39.23557978397388,1.0
PC21,0.15877335460374592,0.8740403132286021,24.256355936875362,-4.616976840257528,1.0
PC22,0.7088917347553286,0.4793401864474971,96.60285094608983,-18.387474469852343,1.0
PC23,0.45070450538612994,0.6525651597950974,41.586311561556144,-7.915576348364337,1.0
PC24,-0.37000911937440456,0.7117652763334104,-40.52746709460937,7.714034929939931,1.0
PC25,0.5650671625072128,0.5726498946505802,59.945545513844756,-11.410089629055442,1.0
PC26,0.6742950780208251,0.5009836120306937,74.60280337555318,-14.199965415233123,1.0
PC27,-0.37017142022951555,0.7116753432785525,-35.91910616751452,6.836875321657717,1.0
PC28,0.3744917182938567,0.708463820797578,35.47006518321651,-6.751404452487068,1.0
PC29,-0.10735995175679194,0.9146229243748834,-10.331641615184504,1.9665340574355796,1.0
PC30,-1.7224347508045477,0.08645306794903268,-131.7804722269505,25.08321488410693,1.0
PC31,-0.3142098308052421,0.7537502130827389,-29.639802997298503,5.641667047781265,1.0
PC32,-1.1292359771788043,0.2600573954720935,-80.78358802307105,15.376421583936912,1.0
PC33,0.5758414206384783,0.5654739645080897,48.323742101693746,-9.197985002311215,1.0
PC34,-0.7635926622784689,0.4459735939895093,-51.27727145608936,9.76016246465317,1.0
PC35,0.1277539805557148,0.8984680832203338,7.949476894544568,-1.5131106589046277,1.0
PC36,-0.5658465482229271,0.5721741689416255,-38.26625341316883,7.283633462165581,1.0
PC37,-0.07385609646053334,0.9412010888396838,-4.61076447288778,0.8776171013734804,1.0
PC38,0.3741023230962216,0.7087349676263883,21.746857982242204,-4.13931671821119,1.0
PC39,-0.5568546897184817,0.5783009164982303,-32.93686953864133,6.269233690593694,1.0
PC40,0.08064003454389967,0.9358190383681655,4.598811395836226,-0.8753419418210833,1.0
PC41,-1.2267277659128681,0.22142438997368374,-57.57983673078351,10.959798468643775,1.0
PC42,-0.3619084745727684,0.7178087663769256,-16.407272817805666,3.122975223843612,1.0
PC43,-1.2129058940066433,0.22676757986617616,-57.94506794661906,11.029316910293733,1.0
PC44,-0.10184132272476144,0.91898573400319,-4.22727661819589,0.8046236744859592,1.0
PC45,0.24395084733023936,0.8075221564667661,9.731665318076812,-1.8523340236111314,1.0
PC46,-1.0612859106346568,0.28985829163917287,-41.38309717637495,7.876896337548596,1.0
PC47,-0.3641558545949167,0.7161050062314906,-12.985919644939436,2.4717517505993256,1.0
PC48,-0.25699228886535613,0.797453758813086,-9.750346527643044,1.8558898220228721,1.0
PC49,-0.2707537284534703,0.7868701280912711,-10.09559010533917,1.92160379845958,1.0
PC50,-0.4497485507009249,0.6534120479897866,-16.282822370862846,3.0992872126358084,1.0
