neuron,mse_hybrid,mse_identity,mse_ridge,delta_id_minus_hybrid
BDUR,0.9833246,2.1759958,0.9728592,1.1926713
RICR,0.9832331,2.175895,0.9706664,1.1926619
BDUL,0.9833019,2.1759615,0.9734183,1.1926596
RICL,0.98326516,2.1759193,0.9792511,1.1926541
AFDL,0.98395026,2.175964,0.9797573,1.1920139
AFDR,0.9839805,2.1759744,0.9737251,1.191994
RIBR,0.9839995,2.1757581,0.97426885,1.1917586
RIBL,0.9839834,2.1757364,0.97319484,1.191753
RIMR,0.98473966,2.1759264,0.9689627,1.1911868
RIML,0.98472893,2.1759086,0.97056276,1.1911796
IL2VR,0.98512596,2.1759613,0.97416353,1.1908352
IL2R,0.9851291,2.175964,0.97314334,1.190835
IL2DR,0.9851523,2.1759865,0.9729864,1.1908343
IL2DL,0.9851376,2.1759696,0.9737104,1.190832
IL2VL,0.98510814,2.1759367,0.9781514,1.1908286
IL2L,0.9851327,2.1759555,0.9741348,1.1908228
AVBR,0.9850985,2.1758964,0.97502863,1.1907979
AVBL,0.9850426,2.17584,0.97351456,1.1907973
PVPR,0.98509645,2.175887,0.97135156,1.1907907
PVPL,0.98514867,2.1759355,0.9798825,1.1907868
AVAL,0.98537123,2.1758387,0.97459215,1.1904675
AVAR,0.9854598,2.175921,0.9732061,1.1904612
RMDDR,0.9854254,2.1758242,0.9738631,1.1903987
AWCR,0.9856218,2.175973,0.9731794,1.1903511
AUAR,0.9855935,2.1759305,0.97489077,1.190337
AWCL,0.985633,2.1759696,0.9736824,1.1903366
AUAL,0.9856305,2.175958,0.9732892,1.1903274
CEPDL,0.98563886,2.175946,0.9735891,1.1903071
CEPVR,0.9856311,2.1759374,0.9731362,1.1903063
CEPDR,0.98561025,2.1759107,0.97532916,1.1903005
RMDVR,0.9856244,2.1759245,0.97269994,1.1903002
RMDR,0.9856417,2.1759417,0.9732182,1.1903
RMDVL,0.98561233,2.1759124,0.972768,1.1903
CEPVL,0.9856203,2.1759186,0.9719386,1.1902983
RMDL,0.98563975,2.1759357,0.973248,1.1902959
RMDDL,0.98559743,2.1758835,0.97354525,1.1902862
RIFR,0.98576474,2.1759696,0.98234564,1.1902049
RIFL,0.98567086,2.1758752,0.97646105,1.1902044
ALMR,0.9857895,2.1759706,0.9711698,1.190181
ALML,0.98573446,2.1759114,0.9737577,1.190177
RMHL,0.9859211,2.1759453,0.973948,1.1900241
RMHR,0.9859123,2.1759326,0.97468305,1.1900203
AIMR,0.98585093,2.175806,0.9842591,1.1899551
ASEL,0.9860445,2.1759624,0.9752641,1.1899179
AVER,0.98599076,2.1758916,0.97348684,1.1899009
AIML,0.9859306,2.175825,0.98132193,1.1898944
AVEL,0.9859718,2.1758566,0.97135895,1.1898848
DVC,0.9861404,2.1759121,0.9742206,1.1897718
ASER,0.98630625,2.175936,0.972374,1.1896298
RMFL,0.986315,2.1759315,0.97433126,1.1896164
RMFR,0.98627436,2.1758862,0.9731252,1.1896118
AWAL,0.98651826,2.1759381,0.9732107,1.1894199
AWAR,0.9865485,2.175967,0.9715774,1.1894186
AWBL,0.9865417,2.1759405,0.973442,1.1893988
AWBR,0.98653376,2.1759176,0.9734236,1.1893839
RIVR,0.98658806,2.1759129,0.98009163,1.1893249
RIVL,0.986609,2.175932,0.9754689,1.189323
RMEL,0.98653376,2.175848,0.9743407,1.1893142
OLLR,0.9866639,2.1759372,0.9706672,1.1892734
OLLL,0.98663974,2.1759083,0.9678641,1.1892686
RMER,0.9866274,2.175895,0.97410005,1.1892676
ASKL,0.9867131,2.1759756,0.9776623,1.1892624
AQR,0.9865918,2.1758497,0.9713054,1.1892579
ASKR,0.98672575,2.175981,0.9746202,1.1892552
SDQR,0.9866297,2.1758835,0.97358733,1.1892538
SDQL,0.98661673,2.1758528,0.9744742,1.189236
RIS,0.98678786,2.1759126,0.9683123,1.1891248
URYDR,0.98684144,2.1759522,0.97328603,1.1891108
URYVR,0.98683304,2.1759436,0.97299093,1.1891105
URYVL,0.98683304,2.175938,0.97339195,1.1891048
URYDL,0.9868368,2.175937,0.973574,1.1891001
IL1VL,0.9868194,2.1758924,0.9737416,1.189073
IL1DR,0.986849,2.1759207,0.9726165,1.1890717
RMEV,0.9868549,2.1758149,0.97318685,1.18896
RMED,0.98691607,2.1758726,0.9737317,1.1889565
IL1VR,0.98692346,2.1758757,0.9737987,1.1889522
URAVR,0.98703665,2.1759727,0.97379297,1.188936
URADR,0.9870483,2.1759834,0.97322327,1.188935
URADL,0.9870362,2.1759713,0.97303236,1.188935
URAVL,0.98703873,2.1759706,0.9744085,1.1889318
RIR,0.9869448,2.1758482,0.97445625,1.1889035
RIPR,0.9869954,2.1758611,0.974633,1.1888657
RIPL,0.98712176,2.1759608,0.96727484,1.188839
URXR,0.98712075,2.175929,0.9730541,1.1888083
URXL,0.9871064,2.1759026,0.9738152,1.1887963
PVR,0.98718536,2.1759439,0.9734851,1.1887585
IL1R,0.987202,2.175952,0.9736307,1.18875
IL1DL,0.987209,2.1759536,0.97294706,1.1887445
IL1L,0.9872117,2.175954,0.9739037,1.1887424
OLQVR,0.9871941,2.1759326,0.9686441,1.1887386
ASGR,0.9872023,2.1759388,0.97635823,1.1887366
ASGL,0.9872398,2.175975,0.9693749,1.1887352
OLQDR,0.9872312,2.1759655,0.96920013,1.1887343
OLQDL,0.9872074,2.1759346,0.9746813,1.1887271
OLQVL,0.9872137,2.1759346,0.98001784,1.188721
RIH,0.98722476,2.1758835,0.97332436,1.1886587
AIYL,0.9873283,2.1759484,0.9741676,1.1886201
AIYR,0.9873425,2.1759613,0.9746036,1.1886188
AVL,0.9873896,2.175974,0.9717891,1.1885843
ALNL,0.9873951,2.1759694,0.9734513,1.1885743
AVHR,0.9874063,2.1759582,0.9742239,1.1885519
AVHL,0.98738843,2.175937,0.9770671,1.1885486
SAADR,0.98743796,2.1759384,0.97298056,1.1885004
SAAVL,0.9874403,2.1759367,0.9733473,1.1884964
SAAVR,0.9874741,2.1759646,0.97422594,1.1884905
SAADL,0.98747313,2.1759539,0.97336143,1.1884807
ALNR,0.98751694,2.1759765,0.9765257,1.1884596
URBL,0.98769736,2.1758547,0.9746105,1.1881573
URBR,0.9878436,2.1759782,0.9758788,1.1881347
AINR,0.9878511,2.1759522,0.97373146,1.188101
AINL,0.9878753,2.1759734,0.97348315,1.1880982
FLPL,0.98786986,2.1759558,0.97575945,1.1880859
FLPR,0.98788947,2.175972,0.9778021,1.1880825
SMDVL,0.98781526,2.1758788,0.9730965,1.1880635
SMDDR,0.9878584,2.1759157,0.97349745,1.1880573
SMDDL,0.98788995,2.1759386,0.97303945,1.1880486
SMDVR,0.9879116,2.1759567,0.9755698,1.1880451
RIAL,0.98811966,2.1758828,0.97393876,1.1877632
RIAR,0.9880633,2.1758144,0.9728943,1.187751
DVA,0.98833823,2.1758432,0.97247285,1.187505
AVM,0.9888932,2.1759405,0.9739002,1.1870472
PVCL,0.9888649,2.1759074,0.97078496,1.1870425
PVCR,0.9888951,2.1759315,0.9813914,1.1870363
ADLL,0.9888689,2.175885,0.9685734,1.187016
ADLR,0.98893946,2.1759531,0.9851464,1.1870136
AVJR,0.98909074,2.1759474,0.9769991,1.1868567
AVJL,0.9890815,2.1759357,0.9700272,1.1868542
RID,0.98937553,2.1759577,0.96954554,1.1865821
ASJR,0.98948807,2.1759415,0.96801513,1.1864533
ASJL,0.98953855,2.1759794,0.9775328,1.1864408
PVT,0.98965263,2.175926,0.97408605,1.1862733
PVQR,0.9897194,2.1759439,0.967621,1.1862245
PVQL,0.9897442,2.17596,0.96898603,1.1862159
ALA,0.98986024,2.175956,0.9735096,1.1860957
SIADR,0.98987204,2.1759145,0.9755418,1.1860425
SIADL,0.9898905,2.175929,0.9741236,1.1860385
SIAVL,0.9898933,2.1759262,0.9739607,1.1860329
SIAVR,0.9899428,2.17597,0.9737509,1.1860273
ASHL,0.98994523,2.1758955,0.9708023,1.1859503
ASHR,0.99004906,2.1759722,0.9798007,1.1859231
AVKL,0.99005175,2.175919,0.972053,1.1858673
AVKR,0.99007905,2.1759424,0.9730642,1.1858634
AVDL,0.9906515,2.1759136,0.9726277,1.1852621
AVDR,0.9906887,2.1759286,0.9683576,1.1852399
SMBDR,0.99057686,2.1757686,0.9730905,1.1851918
SIBVR,0.99069196,2.1758666,0.973126,1.1851747
SIBDR,0.990754,2.175915,0.9744529,1.185161
SIBVL,0.9907312,2.1758883,0.9744915,1.1851571
SMBVL,0.9907583,2.1759067,0.9739854,1.1851484
SMBVR,0.9907766,2.1759245,0.9738691,1.185148
SMBDL,0.990783,2.1759267,0.9732731,1.1851437
SIBDL,0.9907861,2.175925,0.9746962,1.185139
ADEL,0.99080056,2.1756966,0.98029345,1.184896
AIAL,0.9910341,2.1759026,0.98169035,1.1848686
ADER,0.99103266,2.1758888,0.9710609,1.1848562
AIAR,0.9910986,2.175943,0.98500776,1.1848443
RMGL,0.9908865,2.1757298,0.9736329,1.1848433
RMGR,0.9910956,2.1758878,0.9729762,1.1847923
BAGR,0.9912014,2.175934,0.9730239,1.1847327
BAGL,0.9911988,2.1759286,0.97377783,1.1847298
AIZR,0.9912517,2.1758785,0.97473013,1.1846268
AIZL,0.99128157,2.1759014,0.97397774,1.1846199
HSNL,0.99134207,2.1759396,0.9759197,1.1845975
HSNR,0.9913652,2.1759527,0.9729927,1.1845875
ADFR,0.9914005,2.1759114,0.98020256,1.184511
ADFL,0.9914647,2.1759374,0.96997315,1.1844728
ADAL,0.99159604,2.175901,0.98454946,1.184305
ADAR,0.9917501,2.1759424,0.9757426,1.1841923
AIBL,0.9921848,2.1758852,0.9706274,1.1837003
AIBR,0.9921886,2.1758883,0.9742551,1.1836997
CANR,0.9931961,2.1759102,0.97237223,1.1827141
RIGL,0.994314,2.175853,0.9701086,1.181539
RIGR,0.994337,2.175858,0.97272795,1.1815209
AVFL,0.99467057,2.1759534,0.97550917,1.1812828
AVFR,0.9946738,2.1759548,0.9780635,1.1812811
ASIL,0.995391,2.175984,0.97052854,1.1805929
ASIR,0.9954036,2.1759923,0.97508734,1.1805887
PLNL,0.9966932,2.1759958,0.9812909,1.1793027
PLNR,0.9966726,2.175969,0.97177625,1.1792963
